metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q889;Афганистан;Q4689103;2;1.01.2002;2;1.01.2004;;;;
Metastate_Q889;Афганистан;Q889;2;1.01.2004;;по наст. время;;;;
Metastate_Q398;Бахрейн;Q8680;2;1.01.1783;2;1.01.1971;;;;
Metastate_Q398;Бахрейн;Q16826607;2;1.01.1971;2;1.01.2002;;;;
Metastate_Q398;Бахрейн;Q398;2;1.01.2002;;по наст. время;;;;
Metastate_Q902;Бангладеш;Q2001966;2;1.01.1757;2;1.01.1858;;;;
Metastate_Q902;Бангладеш;Q129286;2;1.01.1858;2;1.01.1947;;;;
Metastate_Q902;Бангладеш;Q2006542;2;1.01.1947;2;1.01.1956;;;;
Metastate_Q902;Бангладеш;Q842931;2;1.01.1956;2;1.01.1971;;;;
Metastate_Q902;Бангладеш;Q902;2;1.01.1971;;по наст. время;;;;
Metastate_Q917;Бутан;Q917;2;1.01.1907;;по наст. время;;;;
Metastate_Q921;Бруней;Q887803;4;1.01.601;2;1.01.1888;;;;
Metastate_Q921;Бруней;Q1147441;2;1.01.1888;2;1.01.1984;;;;
Metastate_Q921;Бруней;Q921;2;1.01.1984;;по наст. время;;;;
Metastate_Q424;Камбоджа;Q1057118;2;1.01.550;2;1.01.802;;;;
Metastate_Q424;Камбоджа;Q201705;2;1.01.802;2;1.01.1431;;;;
Metastate_Q424;Камбоджа;Q4919413;2;1.01.1431;2;1.01.1863;;;;
Metastate_Q424;Камбоджа;Q1155700;2;1.01.1782;2;1.01.1867;;;;
Metastate_Q424;Камбоджа;Q3173090;2;1.01.1863;2;1.01.1953;;;;
Metastate_Q424;Камбоджа;Q185682;2;1.01.1887;2;1.01.1946;;;;
Metastate_Q424;Камбоджа;QQ2638486;2;1.01.1953;2;1.01.1970;;;;
Metastate_Q424;Камбоджа;Q1054184;2;1.01.1970;2;1.01.1975;;;;
Metastate_Q424;Камбоджа;Q330988;2;1.01.1975;2;1.01.1982;;;;
Metastate_Q424;Камбоджа;Q867778;2;1.01.1979;2;1.01.1989;;;;
Metastate_Q424;Камбоджа;Q2785731;2;1.01.1982;2;1.01.1990;;;;
Metastate_Q424;Камбоджа;Q867778;2;1.01.1989;2;1.01.1993;;;;
Metastate_Q424;Камбоджа;Q2785731;2;1.01.1990;2;1.01.1993;;;;
Metastate_Q424;Камбоджа;Q424;2;1.01.1993;;по наст. время;;;;
Metastate_Q148;Китайская Народная Республика;Q7183;2;-1.01.221;2;-1.01.206;;;;
Metastate_Q148;Китайская Народная Республика;Q7209;2;-1.01.206;2;1.01.220;;;;
Metastate_Q148;Китайская Народная Республика;Q185043;2;1.01.220;2;1.01.280;;;;
Metastate_Q148;Китайская Народная Республика;Q7352;2;1.01.265;2;1.01.420;;;;
Metastate_Q148;Китайская Народная Республика;Q49696;2;1.01.386;2;1.01.590;;;;
Metastate_Q148;Китайская Народная Республика;Q7405;2;1.01.581;2;1.01.618;;;;
Metastate_Q148;Китайская Народная Республика;Q9683;2;1.01.618;2;1.01.907;;;;
Metastate_Q148;Китайская Народная Республика;Q242115;2;1.01.907;2;1.01.960;;;;
Metastate_Q148;Китайская Народная Республика;Q4958;2;1.01.907;2;1.01.1125;;;;
Metastate_Q148;Китайская Народная Республика;Q7462;2;1.01.960;2;1.01.1279;;;;
Metastate_Q148;Китайская Народная Республика;Q12557;2;1.01.1206;2;1.01.1368;;;;
Metastate_Q148;Китайская Народная Республика;Q7313;2;1.01.1271;2;1.01.1368;;;;
Metastate_Q148;Китайская Народная Республика;Q9903;2;1.01.1368;2;1.01.1644;;;;
Metastate_Q148;Китайская Народная Республика;Q8733;2;1.01.1644;2;1.01.1912;;;;
Metastate_Q148;Китайская Народная Республика;Q814959;2;1.01.1912;2;1.01.1928;;;;
Metastate_Q148;Китайская Народная Республика;Q6979778;2;1.01.1925;2;1.01.1948;;;;
Metastate_Q148;Китайская Народная Республика;Q5066;2;1.01.1115;2;1.01.1234;;;;
Metastate_Q148;Китайская Народная Республика;Q13426199;2;1.01.1912;2;1.01.1949;;;;
Metastate_Q148;Китайская Народная Республика;Q148;2;1.01.1949;;по наст. время;;;;
Metastate_Q230;Грузия;Q19083;2;-1.01.302;2;1.01.580;;;;
Metastate_Q230;Грузия;Q199389;2;1.01.588;2;1.01.1008;;;;
Metastate_Q230;Грузия;Q154667;2;1.01.1008;2;1.01.1490;;;;
Metastate_Q230;Грузия;Q195972;2;1.01.1490;2;1.01.1762;;;;
Metastate_Q230;Грузия;Q282475;2;1.01.1762;2;1.01.1800;;;;
Metastate_Q230;Грузия;Q34266;2;1.01.1721;2;1.01.1917;;;;
Metastate_Q230;Грузия;Q330756;2;1.01.1918;2;1.01.1918;;;;
Metastate_Q230;Грузия;Q245160;2;1.01.1918;2;1.01.1921;;;;
Metastate_Q230;Грузия;Q130229;2;1.01.1921;2;1.01.1922;;;;
Metastate_Q230;Грузия;Q545205;2;1.01.1922;2;1.01.1936;;;;
Metastate_Q230;Грузия;Q15180;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q230;Грузия;Q130229;2;1.01.1936;2;1.01.1991;;;;
Metastate_Q230;Грузия;Q230;2;1.01.1995;;по наст. время;;;;
Metastate_Q668;Индия;Q1039325;4;-1.01.1500;4;-1.01.600;;;;
Metastate_Q668;Индия;Q846025;4;-1.01.600;4;-1.01.300;;;;
Metastate_Q668;Индия;Q62943;2;-1.01.322;2;-1.01.185;;;;
Metastate_Q668;Индия;Q1189518;2;-1.01.200;2;1.01.320;;;;
Metastate_Q668;Индия;Q11774;2;1.01.320;2;1.01.550;;;;
Metastate_Q668;Индия;Q12057021;2;1.01.550;2;1.01.1526;;;;
Metastate_Q668;Индия;Q646374;2;1.01.1664;2;1.01.1962;;;;
Metastate_Q668;Индия;Q323904;2;1.01.1505;2;1.01.1961;;;;
Metastate_Q668;Индия;Q129286;2;1.01.1858;2;1.01.1947;;;;
Metastate_Q668;Индия;Q2001966;2;1.01.1757;2;1.01.1858;;;;
Metastate_Q668;Индия;Q1775277;2;1.01.1947;2;1.01.1959;;;;
Metastate_Q668;Индия;Q668;2;1.01.1950;;по наст. время;;;;
Metastate_Q252;Индонезия;Q5317276;2;1.01.1603;2;1.01.1800;;;;
Metastate_Q252;Индонезия;Q188161;2;1.01.1800;2;1.01.1949;;;;
Metastate_Q252;Индонезия;Q523435;2;1.01.1949;2;1.01.1959;;;;
Metastate_Q252;Индонезия;Q941881;2;1.01.1949;2;1.01.1962;;;;
Metastate_Q252;Индонезия;Q252;2;1.01.1950;;по наст. время;;;;
Metastate_Q794;Иран;Q389688;2;-1.01.549;2;-1.01.330;;;;
Metastate_Q794;Иран;Q93180;2;-1.01.312;2;-1.01.63;;;;
Metastate_Q794;Иран;Q1986139;2;-1.01.247;2;1.01.224;;;;
Metastate_Q794;Иран;Q83891;2;1.01.224;2;1.01.651;;;;
Metastate_Q794;Иран;Q324470;2;1.01.1375;2;1.01.1468;;;;
Metastate_Q794;Иран;Q555994;2;1.01.1378;2;1.01.1501;;;;
Metastate_Q794;Иран;Q18234383;2;1.01.1501;2;1.01.1736;;;;
Metastate_Q794;Иран;Q388739;2;1.01.1736;2;1.01.1796;;;;
Metastate_Q794;Иран;Q189326;2;1.01.1785;2;1.01.1925;;;;
Metastate_Q794;Иран;Q207991;2;1.01.1925;2;1.01.1979;;;;
Metastate_Q794;Иран;Q794;2;1.01.1979;;по наст. время;;;;
Metastate_Q796;Ирак;Q12560;2;1.01.1299;2;1.01.1923;;;;
Metastate_Q796;Ирак;Q146720;2;1.01.1920;2;1.01.1932;;;;
Metastate_Q796;Ирак;Q149805;2;1.01.1932;2;1.01.1958;;;;
Metastate_Q796;Ирак;Q146713;2;1.01.1958;2;1.01.1958;;;;
Metastate_Q796;Ирак;Q3041595;2;1.01.1958;2;1.01.1968;;;;
Metastate_Q796;Ирак;Q3108185;2;1.01.1968;2;1.01.2003;;;;
Metastate_Q796;Ирак;Q965174;2;1.01.2003;2;1.01.2004;;;;
Metastate_Q796;Ирак;Q796;2;1.01.2004;;по наст. время;;;;
Metastate_Q801;Израиль;Q3185305;3;-1.01.1047;2;-1.01.930;;;;
Metastate_Q801;Израиль;Q193714;2;1.01.1920;2;1.01.1948;;;;
Metastate_Q801;Израиль;Q801;2;1.01.1948;;по наст. время;;;;
Metastate_Q810;Иордания;Q12560;2;1.01.1299;2;1.01.1923;;;;
Metastate_Q810;Иордания;Q174193;2;1.01.1917;2;1.01.1920;;;;
Metastate_Q810;Иордания;Q70802;2;1.01.1917;2;1.01.1920;;;;
Metastate_Q810;Иордания;Q1121819;2;1.01.1921;2;1.01.1946;;;;
Metastate_Q810;Иордания;Q810;2;1.01.1946;;по наст. время;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q28370;2;-1.01.37;2;1.01.668;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q715257;2;1.01.668;2;1.01.935;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q28322;2;1.01.698;2;1.01.926;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q28208;2;1.01.918;2;1.01.1392;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q28179;2;1.01.1392;2;1.01.1897;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q28233;2;1.01.1897;2;1.01.1910;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q503585;2;1.01.1910;2;1.01.1945;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q484370;2;1.01.1945;2;1.01.1946;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q498735;2;1.01.1945;2;1.01.1948;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q60770428;2;1.01.1946;2;1.01.1948;;;;
Metastate_Q423;Корейская Народно-Демократическая Республика;Q423;2;1.01.1948;;по наст. время;;;;
Metastate_Q884;Республика Корея;Q28456;2;-1.01.57;2;1.01.668;;;;
Metastate_Q884;Республика Корея;Q28428;2;-1.01.18;2;1.01.660;;;;
Metastate_Q884;Республика Корея;Q715257;2;1.01.668;2;1.01.935;;;;
Metastate_Q884;Республика Корея;Q28208;2;1.01.918;2;1.01.1392;;;;
Metastate_Q884;Республика Корея;Q28179;2;1.01.1392;2;1.01.1897;;;;
Metastate_Q884;Республика Корея;Q28233;2;1.01.1897;2;1.01.1910;;;;
Metastate_Q884;Республика Корея;Q503585;2;1.01.1910;2;1.01.1945;;;;
Metastate_Q884;Республика Корея;Q28278;2;1.01.1919;2;1.01.1948;;;;
Metastate_Q884;Республика Корея;Q484370;2;1.01.1945;2;1.01.1946;;;;
Metastate_Q884;Республика Корея;Q484104;2;1.01.1945;2;1.01.1948;;;;
Metastate_Q884;Республика Корея;Q884;2;1.01.1948;;по наст. время;;;;
Metastate_Q817;Кувейт;Q817;2;1.01.1913;2;1.01.1990;;;;
Metastate_Q817;Кувейт;Q868942;2;1.01.1990;2;1.01.1990;;;;
Metastate_Q817;Кувейт;Q6448838;2;1.01.1990;2;1.01.1991;;;;
Metastate_Q817;Кувейт;Q817;2;1.01.1990;;по наст. время;;;;
Metastate_Q813;Киргизия;Q1501849;2;1.01.1867;2;1.01.1918;;;;
Metastate_Q813;Киргизия;Q75903;2;1.01.1918;2;1.01.1924;;;;
Metastate_Q813;Киргизия;Q2385941;2;1.01.1924;2;1.01.1926;;;;
Metastate_Q813;Киргизия;Q8212144;2;1.01.1926;2;1.01.1936;;;;
Metastate_Q813;Киргизия;Q15180;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q813;Киргизия;Q130276;2;1.01.1936;2;1.01.1991;;;;
Metastate_Q813;Киргизия;Q813;2;1.01.1991;;по наст. время;;;;
Metastate_Q819;Лаос;Q853477;2;1.01.1354;2;1.01.1707;;;;
Metastate_Q819;Лаос;Q338248;2;1.01.1707;2;1.01.1949;;;;
Metastate_Q819;Лаос;Q1062415;2;1.01.1713;2;1.01.1904;;;;
Metastate_Q819;Лаос;Q1155700;2;1.01.1782;2;1.01.1893;;;;
Metastate_Q819;Лаос;Q1320058;2;1.01.1893;2;1.01.1953;;;;
Metastate_Q819;Лаос;Q870055;2;1.01.1947;2;1.01.1975;;;;
Metastate_Q819;Лаос;Q819;2;1.01.1975;;по наст. время;;;;
Metastate_Q822;Ливан;Q12560;2;1.01.1299;2;1.01.1923;;;;
Metastate_Q822;Ливан;Q174193;2;1.01.1917;2;1.01.1920;;;;
Metastate_Q822;Ливан;Q70802;2;1.01.1917;2;1.01.1920;;;;
Metastate_Q822;Ливан;Q130842;2;1.01.1920;2;1.01.1943;;;;
Metastate_Q822;Ливан;Q822;2;1.01.1943;;по наст. время;;;;
Metastate_Q833;Малайзия;Q1400154;2;1.01.1895;2;1.01.1946;;;;
Metastate_Q833;Малайзия;Q1973084;2;1.01.1895;2;1.01.1946;;;;
Metastate_Q833;Малайзия;Q976099;2;1.01.1946;2;1.01.1948;;;;
Metastate_Q833;Малайзия;Q1479726;2;1.01.1948;2;1.01.1963;;;;
Metastate_Q833;Малайзия;Q833;2;1.01.1963;;по наст. время;;;;
Metastate_Q826;Мальдивы;Q11344632;2;1.01.1774;2;1.01.1953;;;;
Metastate_Q826;Мальдивы;Q826;2;1.01.1953;2;1.01.1954;;;;
Metastate_Q826;Мальдивы;Q11344632;2;1.01.1954;2;1.01.1968;;;;
Metastate_Q826;Мальдивы;Q826;2;1.01.1968;;по наст. время;;;;
Metastate_Q711;Монголия;Q12557;2;1.01.1206;2;1.01.1368;;;;
Metastate_Q711;Монголия;Q7313;2;1.01.1271;2;1.01.1368;;;;
Metastate_Q711;Монголия;Q8959;2;1.01.1368;2;1.01.1635;;;;
Metastate_Q711;Монголия;Q8733;2;1.01.1635;2;1.01.1911;;;;
Metastate_Q711;Монголия;Q2475921;2;1.01.1911;2;1.01.1924;;;;
Metastate_Q711;Монголия;Q13426199;2;1.01.1911;2;1.01.1924;;;;
Metastate_Q711;Монголия;Q212056;2;1.01.1924;2;1.01.1992;;;;
Metastate_Q711;Монголия;Q711;2;1.01.1992;;по наст. время;;;;
Metastate_Q836;Мьянма;Q1062422;2;1.01.1752;2;1.01.1885;;;;
Metastate_Q836;Мьянма;Q129286;2;1.01.1858;2;1.01.1937;;;;
Metastate_Q836;Мьянма;Q2376315;2;1.01.1937;2;1.01.1947;;;;
Metastate_Q836;Мьянма;Q7233551;2;1.01.1948;2;1.01.1962;;;;
Metastate_Q836;Мьянма;Q15241296;2;1.01.1962;2;1.01.1988;;;;
Metastate_Q836;Мьянма;Q836;2;1.01.2011;;по наст. время;;;;
Metastate_Q837;Непал;Q3332217;2;1.01.1743;2;1.01.1768;;;;
Metastate_Q837;Непал;Q1078602;2;1.01.1768;2;1.01.2008;;;;
Metastate_Q837;Непал;Q837;2;1.01.2008;;по наст. время;;;;
Metastate_Q842;Оман;Q157734;2;1.01.1820;2;1.01.1970;;;;
Metastate_Q842;Оман;Q2342282;2;1.01.751;2;1.01.1970;;;;
Metastate_Q842;Оман;Q157734;2;1.01.751;2;1.01.1970;;;;
Metastate_Q842;Оман;Q842;2;1.01.1970;;по наст. время;;;;
Metastate_Q843;Пакистан;Q2001966;2;1.01.1757;2;1.01.1858;;;;
Metastate_Q843;Пакистан;Q129286;2;1.01.1858;2;1.01.1947;;;;
Metastate_Q843;Пакистан;Q2006542;2;1.01.1947;2;1.01.1956;;;;
Metastate_Q843;Пакистан;Q843;2;1.01.1956;;по наст. время;;;;
Metastate_Q219060;Государство Палестина;Q2320005;2;-1.01.305;2;-1.01.30;;;;
Metastate_Q219060;Государство Палестина;Q1669578;2;1.01.135;2;1.01.390;;;;
Metastate_Q219060;Государство Палестина;Q726798;2;1.01.868;2;1.01.905;;;;
Metastate_Q219060;Государство Палестина;Q12536;2;1.01.868;2;1.01.905;;;;
Metastate_Q219060;Государство Палестина;Q828665;2;1.01.935;2;1.01.969;;;;
Metastate_Q219060;Государство Палестина;Q12536;2;1.01.935;2;1.01.969;;;;
Metastate_Q219060;Государство Палестина;Q160307;2;1.01.969;2;1.01.1171;;;;
Metastate_Q219060;Государство Палестина;Q180114;2;1.01.1171;2;1.01.1260;;;;
Metastate_Q219060;Государство Палестина;Q282428;2;1.01.1250;2;1.01.1570;;;;
Metastate_Q219060;Государство Палестина;Q12560;2;1.01.1250;2;1.01.1570;;;;
Metastate_Q219060;Государство Палестина;Q193714;2;1.01.1920;2;1.01.1948;;;;
Metastate_Q219060;Государство Палестина;Q2051582;2;1.01.1948;2;1.01.1959;;;;
Metastate_Q219060;Государство Палестина;Q7075778;2;1.01.1959;2;1.01.1967;;;;
Metastate_Q219060;Государство Палестина;Q2893000;2;1.01.1948;2;1.01.1967;;;;
Metastate_Q219060;Государство Палестина;Q12406729;2;1.01.1967;2;1.01.1981;;;;
Metastate_Q219060;Государство Палестина;Q6087526;2;1.01.1981;2;1.01.1994;;;;
Metastate_Q219060;Государство Палестина;Q42620;2;1.01.1994;2;1.01.2013;;;;
Metastate_Q219060;Государство Палестина;Q219060;2;1.01.2013;;по наст. время;;;;
Metastate_Q928;Филиппины;Q910648;2;1.01.1565;2;1.01.1898;;;;
Metastate_Q928;Филиппины;Q871091;2;1.01.1762;2;1.01.1764;;;;
Metastate_Q928;Филиппины;Q30;2;1.01.1898;2;1.01.1902;;;;
Metastate_Q928;Филиппины;Q1361989;2;1.01.1899;2;1.01.1901;;;;
Metastate_Q928;Филиппины;Q783733;2;1.01.1901;2;1.01.1935;;;;
Metastate_Q928;Филиппины;Q146328;2;1.01.1935;2;1.01.1946;;;;
Metastate_Q928;Филиппины;Q2027229;2;1.01.1943;2;1.01.1945;;;;
Metastate_Q928;Филиппины;Q928;2;1.01.1946;;по наст. время;;;;
Metastate_Q846;Катар;Q21816812;2;1.01.1916;2;1.01.1971;;;;
Metastate_Q846;Катар;Q846;2;1.01.1971;;по наст. время;;;;
Metastate_Q851;Саудовская Аравия;Q146871;2;1.01.1744;2;1.01.1818;;;;
Metastate_Q851;Саудовская Аравия;Q146862;2;1.01.1824;2;1.01.1891;;;;
Metastate_Q851;Саудовская Аравия;Q5362837;2;1.01.1836;2;1.01.1921;;;;
Metastate_Q851;Саудовская Аравия;Q3558385;2;1.01.1872;2;1.01.1916;;;;
Metastate_Q851;Саудовская Аравия;Q96028967;2;1.01.1902;2;1.01.1921;;;;
Metastate_Q851;Саудовская Аравия;Q1756914;2;1.01.1921;2;1.01.1926;;;;
Metastate_Q851;Саудовская Аравия;Q956357;2;1.01.1916;2;1.01.1925;;;;
Metastate_Q851;Саудовская Аравия;Q1656908;2;1.01.1872;2;1.01.1916;;;;
Metastate_Q851;Саудовская Аравия;Q1756546;2;1.01.1926;2;1.01.1932;;;;
Metastate_Q851;Саудовская Аравия;Q851;2;1.01.1932;;по наст. время;;;;
Metastate_Q334;Сингапур;Q376178;2;1.01.1926;2;1.01.1946;;;;
Metastate_Q334;Сингапур;Q4373718;2;1.01.1946;2;1.01.1963;;;;
Metastate_Q334;Сингапур;Q4420038;2;1.01.1963;2;1.01.1965;;;;
Metastate_Q334;Сингапур;Q334;2;1.01.1965;;по наст. время;;;;
Metastate_Q854;Шри-Ланка;Q7524320;2;-1.01.543;2;1.01.1597;;;;
Metastate_Q854;Шри-Ланка;Q3932084;2;-1.01.543;2;-1.01.437;;;;
Metastate_Q854;Шри-Ланка;Q1965597;2;-1.01.437;2;1.01.1055;;;;
Metastate_Q854;Шри-Ланка;Q3167772;2;1.01.1055;2;1.01.1232;;;;
Metastate_Q854;Шри-Ланка;Q3136869;2;1.01.1232;2;1.01.1341;;;;
Metastate_Q854;Шри-Ланка;Q6412581;2;1.01.1341;2;1.01.1371;;;;
Metastate_Q854;Шри-Ланка;Q1589163;2;1.01.1371;2;1.01.1597;;;;
Metastate_Q854;Шри-Ланка;Q1530762;2;1.01.1469;2;1.01.1815;;;;
Metastate_Q854;Шри-Ланка;Q1311219;2;1.01.1232;2;1.01.1620;;;;
Metastate_Q854;Шри-Ланка;Q3136850;2;1.01.1521;2;1.01.1594;;;;
Metastate_Q854;Шри-Ланка;Q918153;2;1.01.1815;2;1.01.1948;;;;
Metastate_Q854;Шри-Ланка;Q2670092;2;1.01.1948;2;1.01.1972;;;;
Metastate_Q854;Шри-Ланка;Q854;2;1.01.1972;;по наст. время;;;;
Metastate_Q858;Сирия;Q12560;2;1.01.1299;2;1.01.1923;;;;
Metastate_Q858;Сирия;Q130802;2;1.01.1920;2;1.01.1936;;;;
Metastate_Q858;Сирия;Q146600;2;1.01.1920;2;1.01.1920;;;;
Metastate_Q858;Сирия;Q146740;2;1.01.1921;2;1.01.1936;;;;
Metastate_Q858;Сирия;Q146872;2;1.01.1920;2;1.01.1924;;;;
Metastate_Q858;Сирия;Q146562;2;1.01.1920;2;1.01.1924;;;;
Metastate_Q858;Сирия;Q146880;2;1.01.1924;2;1.01.1930;;;;
Metastate_Q858;Сирия;Q26234937;2;1.01.1930;2;1.01.1946;;;;
Metastate_Q858;Сирия;Q146885;2;1.01.1946;2;1.01.1958;;;;
Metastate_Q858;Сирия;Q170468;2;1.01.1958;2;1.01.1961;;;;
Metastate_Q858;Сирия;Q858;2;1.01.1961;;по наст. время;;;;
Metastate_Q863;Таджикистан;Q1501849;2;1.01.1867;2;1.01.1918;;;;
Metastate_Q863;Таджикистан;Q75903;2;1.01.1918;2;1.01.1924;;;;
Metastate_Q863;Таджикистан;Q15180;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q863;Таджикистан;Q76077;2;1.01.1924;2;1.01.1929;;;;
Metastate_Q863;Таджикистан;Q199711;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q863;Таджикистан;Q863;2;1.01.1991;;по наст. время;;;;
Metastate_Q869;Таиланд;Q863279;2;1.01.1238;2;1.01.1438;;;;
Metastate_Q869;Таиланд;Q1059707;2;1.01.1292;2;1.01.1775;;;;
Metastate_Q869;Таиланд;Q1483643;4;1.01.1;4;1.01.1401;;;;
Metastate_Q869;Таиланд;Q841364;2;1.01.1350;2;1.01.1767;;;;
Metastate_Q869;Таиланд;Q1115291;2;1.01.1767;2;1.01.1782;;;;
Metastate_Q869;Таиланд;Q1155700;2;1.01.1782;2;1.01.1932;;;;
Metastate_Q869;Таиланд;Q869;2;1.01.1932;;по наст. время;;;;
Metastate_Q574;Восточный Тимор;Q142965;2;1.01.1702;2;1.01.1975;;;;
Metastate_Q574;Восточный Тимор;Q1732464;2;1.01.1975;2;1.01.1999;;;;
Metastate_Q574;Восточный Тимор;Q332358;2;1.01.1999;2;1.01.2002;;;;
Metastate_Q574;Восточный Тимор;Q574;2;1.01.2002;;по наст. время;;;;
Metastate_Q874;Туркмения;Q1501849;2;1.01.1867;2;1.01.1918;;;;
Metastate_Q874;Туркмения;Q75903;2;1.01.1918;2;1.01.1924;;;;
Metastate_Q874;Туркмения;Q61291;2;1.01.1920;2;1.01.1925;;;;
Metastate_Q874;Туркмения;Q68682;2;1.01.1920;2;1.01.1925;;;;
Metastate_Q874;Туркмения;Q15180;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q874;Туркмения;Q199707;2;1.01.1922;2;1.01.1991;;;;
Metastate_Q874;Туркмения;Q874;2;1.01.1991;;по наст. время;;;;
Metastate_Q878;Объединённые Арабские Эмираты;Q1852345;2;1.01.1820;2;1.01.1971;;;;
